id,ticker,date,open,high,low,close,adj_close,volume
4613,AMZN,2024-04-17,184.3100,184.5700,179.8200,181.2800,181.2800,31359700
4614,AMZN,2024-04-18,181.4700,182.3900,178.6500,179.2200,179.2200,30723800
4615,AMZN,2024-04-19,178.7400,179.0000,173.4400,174.6300,174.6300,56000700
4616,AMZN,2024-04-22,176.9400,178.8700,174.5600,177.2300,177.2300,37924900
4617,AMZN,2024-04-23,178.0800,179.9300,175.9800,179.5400,179.5400,37046500
4618,AMZN,2024-04-24,179.9400,180.3200,176.1800,176.5900,176.5900,34185100
4619,AMZN,2024-04-25,169.6800,173.9200,166.3200,173.6700,173.6700,49249400
4620,AMZN,2024-04-26,177.8000,180.8200,176.1300,179.6200,179.6200,43919800
4621,AMZN,2024-04-29,182.7500,183.5300,179.3900,180.9600,180.9600,54063900
4622,AMZN,2024-04-30,181.0900,182.9900,174.8000,175.0000,175.0000,94639800
4623,AMZN,2024-05-01,181.6400,185.1500,176.5600,179.0000,179.0000,94645100
4624,AMZN,2024-05-02,180.8500,185.1000,179.9100,184.7200,184.7200,54303500
4625,AMZN,2024-05-03,186.9900,187.8700,185.4200,186.2100,186.2100,39172000
4626,AMZN,2024-05-06,186.2800,188.7500,184.8000,188.7000,188.7000,34725300
4627,AMZN,2024-05-07,188.9200,189.9400,187.3100,188.7600,188.7600,34048900
4628,AMZN,2024-05-08,187.4400,188.4300,186.3900,188.0000,188.0000,26136400
4629,AMZN,2024-05-09,188.8800,191.7000,187.4400,189.5000,189.5000,43368400
4630,AMZN,2024-05-10,189.1600,189.8900,186.9300,187.4800,187.4800,34141800
4631,AMZN,2024-05-13,188.0000,188.3100,185.3600,186.5700,186.5700,24898600
4632,AMZN,2024-05-14,183.8200,187.7200,183.4500,187.0700,187.0700,38698200
4633,AMZN,2024-05-15,185.9700,186.7200,182.7300,185.9900,185.9900,75459900
4634,AMZN,2024-05-16,185.6000,187.3100,183.4600,183.6300,183.6300,38834500
4635,AMZN,2024-05-17,183.7600,185.3000,183.3500,184.7000,184.7000,33175700
4636,AMZN,2024-05-20,184.3400,186.6700,183.2800,183.5400,183.5400,30511800
4637,AMZN,2024-05-21,182.3000,183.2600,180.7500,183.1500,183.1500,50839100
4638,AMZN,2024-05-22,183.8800,185.2200,181.9700,183.1300,183.1300,28148800
4639,AMZN,2024-05-23,183.6600,184.7600,180.0800,181.0500,181.0500,33670200
