ticker,report_date,period,revenue,cogs,gross_profit,opex,operating_income_ebit,ebt,net_income,ebitda,basic_eps,diluted_eps,total_assets,current_assets,cash_and_equivalents,accounts_receivable,inventory,non_current_assets,total_liabilities,current_liabilities,accounts_payable,short_term_debt,long_term_debt,total_equity,common_stock,retained_earnings,current_ratio,quick_ratio,cash_ratio,debt_to_equity,debt_ratio,interest_coverage_ratio,roa,roe,gross_margin,net_margin,asset_turnover,inventory_turnover,receivables_turnover
DIS,2022-09-30,12M,82722000000.0,54401000000.0,28321000000.0,0,6770000000.0,5285000000.0,3145000000.0,11997000000.0,1.73,1.72,203631000000.0,29098000000.0,11615000000.0,0,1742000000.0,174533000000.0,95253000000.0,29073000000.0,16205000000.0,3070000000.0,45299000000.0,95008000000.0,56398000000.0,43636000000.0,1.000859904378633,0.940941767275479,0.3995115743129364,1.0025787302121927,0.4677725886530047,4.3705616526791475,0.015444603228388604,0.0331024755810037,0.3423635792171369,0.03801890669954788,0.40623480707750786,31.229047072330655,
DIS,2021-09-30,12M,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
BAC,2025-12-31,12M,,,,0,,,,,3.86,3.81,,,,0,,,,,,,,,,,,,,,,,,,,,,,
BAC,2024-12-31,12M,101887000000.0,,,0,,29254000000.0,27132000000.0,,3.25,3.21,3261519000000.0,,296486000000.0,0,,,2965960000000.0,,,43391000000.0,283279000000.0,295559000000.0,45336000000.0,242349000000.0,,,,10.035086057267753,0.9093799545549175,,0.008318823223166873,0.09179893016284396,,0.2662950131027511,0.031239125082515234,,
BAC,2023-12-31,12M,98581000000.0,,,0,,28342000000.0,26515000000.0,,3.1,3.08,3180151000000.0,,341419000000.0,0,,,2888505000000.0,,,32098000000.0,302204000000.0,291646000000.0,56365000000.0,224672000000.0,,,,9.904147493879567,0.9082917760823307,,0.008337654406976272,0.09091501340666425,,0.26896663657297043,0.03099884250779287,,
BAC,2022-12-31,12M,94950000000.0,,,0,,30969000000.0,27528000000.0,,3.21,3.19,3051375000000.0,,237462000000.0,0,,,2778178000000.0,,,26932000000.0,275982000000.0,273197000000.0,58953000000.0,207003000000.0,,,,10.169138021281347,0.9104675760927451,,0.009021506697800172,0.10076245346764423,,0.2899210110584518,0.031117119331448936,,
BAC,2021-12-31,12M,89113000000.0,,,0,,33976000000.0,31978000000.0,,,,3169495000000.0,,355365000000.0,0,,,2899429000000.0,,,23753000000.0,280117000000.0,270066000000.0,62398000000.0,188064000000.0,,,,10.736001569986596,0.9147921041049126,,0.010089304447553947,0.11840809283656588,,0.35884775509746053,0.028115835487987833,,
NVDA,2025-01-31,12M,130497000000.0,32639000000.0,97858000000.0,0,81453000000.0,84026000000.0,72880000000.0,86137000000.0,2.97,2.94,111601000000.0,80126000000.0,8589000000.0,0,10080000000.0,31475000000.0,32274000000.0,18047000000.0,6310000000.0,,8463000000.0,79327000000.0,24000000.0,68038000000.0,4.439851498864077,3.8813099130049316,0.47592397628414695,0.4068476054811098,0.28919095707027714,329.7692307692308,0.6530407433625147,0.9187288060811577,0.7498869705816992,0.5584802715771244,1.169317479234057,3.237996031746032,
NVDA,2024-01-31,12M,60922000000.0,16621000000.0,44301000000.0,0,32972000000.0,33818000000.0,29760000000.0,35583000000.0,1.21,1.19,65728000000.0,44345000000.0,7280000000.0,0,5282000000.0,21383000000.0,22750000000.0,10631000000.0,2699000000.0,1250000000.0,8459000000.0,42978000000.0,25000000.0,29817000000.0,4.171291505973097,3.6744426676700215,0.6847897657793246,0.529340592861464,0.346123417721519,128.295719844358,0.4527750730282376,0.6924472986178976,0.7271757329043695,0.4884934834706674,0.9268804771178188,3.1467247254827715,
NVDA,2023-01-31,12M,26974000000.0,11618000000.0,15356000000.0,0,5577000000.0,4181000000.0,4368000000.0,5986000000.0,0.176,0.174,41182000000.0,23073000000.0,3389000000.0,0,5159000000.0,18109000000.0,19081000000.0,6563000000.0,1193000000.0,1250000000.0,9703000000.0,22101000000.0,2000000.0,10171000000.0,3.515617857687033,2.7295444156635686,0.516379704403474,0.8633545993393964,0.46333349521635664,21.286259541984734,0.10606575688407557,0.19763811592235644,0.5692889449099132,0.16193371394676356,0.6549949006847652,2.251986819150998,
NVDA,2022-01-31,12M,26914000000.0,9439000000.0,17475000000.0,0,10041000000.0,9941000000.0,9752000000.0,11351000000.0,0.391,0.385,44187000000.0,28829000000.0,1990000000.0,0,2605000000.0,15358000000.0,17575000000.0,4335000000.0,1783000000.0,,10946000000.0,26612000000.0,3000000.0,16235000000.0,6.650288350634371,6.049365628604383,0.4590542099192618,0.6604163535247257,0.3977414171588929,42.54661016949152,0.22069839545567702,0.3664512250112731,0.6492903321691313,0.3623393029649996,0.6090931721999683,3.62341650671785,
